"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","false",,"Attribute","","",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","false",,"Attribute","","",
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","false",,"Attribute","","",
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","false",,"Attribute","","",
"KEYWORD_ID","キーワードID","Keyword ID","keywordID","LONG","false","[MONTH_OF_YEAR]","Attribute","","",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","false",,"Attribute","","",
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","false",,"Attribute","","",
"SEARCH_QUERY","検索クエリー","Search Query","searchQuery","STRING","false",,"Attribute","","",
"SEARCH_QUERY_MATCH_TYPE","検索クエリーのマッチタイプ","SearchQueryMatch Type","searchQueryMatchType","ENUM","false",,"Segment","部分一致,完全一致,完全一致（類似する語句）,フレーズ一致（類似する語句）,フレーズ一致,その他","broad,exact,Exact match (close variants),Phrase match (close variants),phrase,Other",
"KEYWORD","キーワード","Keyword","keyword","STRING","false","[MONTH_OF_YEAR]","Attribute","","",
"COST","コスト","Cost","cost","LONG","false","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"IMPS","インプレッション数","Impressions","impressions","LONG","false","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"CLICKS","クリック数","Clicks","clicks","LONG","false","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","false","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
